date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total,Transaction Status,Transaction Release Date,Parsed Date
4 Feb 2026 3:55:56 am UTC,26482648002,Transfer,,,To account ending with: 651,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-579.37,-579.37,Released,4 Feb 2026 3:55:56 am UTC
4 Feb 2026 11:59:23 am UTC,26565023512,Order,404-9525971-2489910,HBM-125,TupTap Human Body Structure Model 3D Puzzles  for 6+Year Old Kids  DIY Educational Science Project | Removable Organs Bones STEM  29 Piece Anatomy Fig,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Amazon,BHUBANESWAR,ODISHA,751010,665.71,38.1,0,-38.1,33.29,0,0,-3.33,0,-70.12,-83.78,-30.68,0,511.09,Released,13 Feb 2026 10:49:59 pm UTC
4 Feb 2026 3:06:19 pm UTC,26586309442,Order,406-9280533-0622758,CSG1,TupTap Puzzle Rainbow Counting Soft Rubber Fruit Classification Fun Pairing Children's Montessori Early Education Toys  Sorting  Gift for Toddlers Pre,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Amazon,NEW DELHI,DELHI,110017,760.95,38.1,0,-38.1,38.05,0,0,-3.8,0,-89.57,-120.36,-30.68,0,554.59,Released,16 Feb 2026 11:55:04 pm UTC
4 Feb 2026 3:24:56 pm UTC,26482648002,FBA Inventory Fee,Xq246dM711,,FBA Removal Order: Return Fee,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-82.6,-82.6,Released,4 Feb 2026 3:24:56 pm UTC
4 Feb 2026 11:11:55 pm UTC,26538063562,Order,406-7024534-1589965,APK01,TupTap Cotton Air Pillow Pack of 2 PCs Khakhi Color with air Pump | Travelling Pillow for Train  Flight and Bus | Beach & Poolside,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Amazon,KATIHAR,BIHAR,855102,475.24,38.1,0,-38.1,23.76,0,0,-2.38,0,-29.44,-83.78,-15.34,0,368.06,Released,16 Feb 2026 11:26:56 pm UTC
5 Feb 2026 4:49:41 am UTC,26598746222,Order,404-0141750-5302774,APK01,TupTap Cotton Air Pillow Pack of 2 PCs Khakhi Color with air Pump | Travelling Pillow for Train  Flight and Bus | Beach & Poolside,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Amazon,DARSI,ANDHRA PRADESH,523247,475.24,38.1,0,-38.1,23.76,0,0,-2.38,0,-29.44,-120.36,-15.34,0,331.48,Released,18 Feb 2026 10:50:46 pm UTC
5 Feb 2026 8:31:50 am UTC,26538063562,Shipping Services,402-2505173-7067520,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3,Released,16 Feb 2026 8:30:31 pm UTC
5 Feb 2026 8:47:04 am UTC,26538063562,Order,402-2505173-7067520,7Q-SH3C-785S,TupTap Human Body Structure Model 3D Puzzles  for 6+Year Old Kids  DIY Educational Science Project | Removable Organs Bones STEM  29 Piece Anatomy Fig,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Bengaluru,KARNATAKA,560076,665.71,0,0,0,33.29,0,0,-3.33,0,-70.12,0,-40.12,0,585.43,Released,16 Feb 2026 4:00:49 am UTC
6 Feb 2026 6:57:33 am UTC,26512958352,Transfer,,,To account ending with: 651,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-1208.11,-1208.11,Released,6 Feb 2026 6:57:33 am UTC
6 Feb 2026 7:21:11 am UTC,26598746222,Shipping Services,403-1474910-4453955,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7,Released,18 Feb 2026 9:35:03 pm UTC
